0.288065,-3.59286,0,0,-0.65369,0.756763
0.30789,-3.70605,0,0,-0.641332,0.767263
0.330648,-3.81162,0,0,-0.616833,0.787094
0.358153,-3.91607,0,0,-0.606157,0.795345
0.386321,-4.02096,0,0,-0.607625,0.794224
0.414677,-4.12517,0,0,-0.606346,0.795201
0.443523,-4.2305,0,0,-0.605468,0.79587
0.47359,-4.33658,0,0,-0.603735,0.797185
0.504388,-4.44222,0,0,-0.601104,0.799171
0.535038,-4.54659,0,0,-0.600416,0.799688
0.567312,-4.64944,0,0,-0.598544,0.80109
0.599985,-4.75471,0,0,-0.598098,0.801423
0.630566,-4.85694,0,0,-0.598163,0.801375
0.660422,-4.95792,0,0,-0.599155,0.800633
0.697055,-5.05675,0,0,-0.596815,0.802379
0.728158,-5.16011,0,0,-0.596815,0.802379
0.759264,-5.26332,0,0,-0.596989,0.802249
0.79126,-5.36532,0,0,-0.596794,0.802395
0.822136,-5.47146,0,0,-0.596762,0.802418
0.855241,-5.57399,0,0,-0.59711,0.802159
0.887209,-5.6728,0,0,-0.597305,0.802014
0.92113,-5.77458,0,0,-0.596411,0.802679
0.956144,-5.88237,0,0,-0.597117,0.802155
0.987678,-5.99545,0,0,-0.601186,0.799109
1.02252,-6.10374,0,0,-0.601763,0.798674
1.0507,-6.20071,0,0,-0.603096,0.797669
1.0784,-6.29879,0,0,-0.603235,0.797563
1.10003,-6.39876,0,0,-0.6032,0.79759
